latitude,longitude,population
22.29941,73.20812,1409476
-1.45583,-48.50444,1407737
41.85583,123.92333,1400646
-0.22985,-78.52495,1399814
33.60639,130.41806,1392289
-18.91368,47.53613,1391433
34.68361,112.45361,1390581
25.39242,68.37366,1386330
40.84985,-73.86641,1385108
10.16202,-68.00765,1385083
32.16167,74.18831,1384471
10.96854,-74.78132,1380425
28.15861,113.62709,1380000
32.5027,-117.00371,1376457
-11.66089,27.47938,1373770
-30.03306,-51.23,1372741
-6.17806,106.63,1372124
-17.78629,-63.18117,1364389
36.60056,114.46778,1358318
0.31628,32.58219,1353189
56.8519,60.6122,1349772
22.80979,89.56439,1342339
4.04827,9.70428,1338082
29.42412,-98.49363,1327407
29.44768,75.67206,1324570
21.42664,39.82563,1323624
-5.14,119.4221,1321717
32.71533,-117.15726,1307402
35.52056,139.71722,1306785
-6.28862,106.71789,1303569
40.65222,109.82222,1301768
24.46861,39.61417,1300000
3.86667,11.51667,1299369
12.65,-8,1297281
19.99727,73.79096,1289497
-6.9932,110.4203,1288084
-4.26613,15.28318,1284609
18.62292,73.80696,1284606
56.32867,44.00205,1284164
31.95522,35.94503,1275857
7.20417,124.43972,1273715
44.80401,20.46513,1273651
-34.90328,-56.18816,1270737
-15.40669,28.28713,1267440
19.2437,73.13554,1262255
19.19704,72.96355,1261517
48.13743,11.57549,1260391
59.33258,18.0649,1253309
33.9,35.48333,1251739
29.61031,52.53113,1249942
37.00167,35.32889,1248988
37.29111,127.00889,1242724
45.46427,9.18951,1236837
18.53917,-72.335,1234742
19.40061,-99.01483,1232220
-34.92866,138.59863,1225235
28.97155,77.71934,1223184
19.23114,82.54826,1220946
28.41252,77.31977,1220229
34.008,71.57849,1218773
7.07306,125.61278,1212504
21.97473,96.08359,1208099
15.64453,32.47773,1200000
19.4517,-70.69703,1200000
29.37455,113.09481,1200000
41.12361,122.99,1199275
34.18045,117.15707,1199193
28.66249,77.43777,1199191
-6.4,106.81861,1198129
32.78306,-96.80667,1197816
35.90807,139.65657,1193350
19.49016,-99.10978,1193161
19.21667,73.08333,1193000
-25.96553,32.58322,1191613
22.8694,-98.75886,1185772
26.06139,119.30611,1179720
22.29161,70.79322,1177362
-32.94682,-60.63932,1173533
26.58333,106.71667,1171633
-16.67861,-49.25389,1171195
-23.46278,-46.53333,1169577
50.08804,14.42076,1165581
25.31668,83.01041,1164404
55.67594,12.56553,1153615
42.69751,23.32415,1152556
32.87519,13.18746,1150989
4.77742,7.0134,1148665
34.39627,132.45937,1143841
26.86879,100.22072,1137600
25.0657,55.17128,1137347
53.20007,50.15,1134730
54.99244,73.36859,1129281
6.33815,5.62575,1125058
25.67507,-100.31847,1122874
7.16083,124.475,1121974
40.37767,49.89201,1116513
21.13052,-101.671,1114626
11.84692,13.15712,1112449
55.78874,49.12214,1104738
40.18111,44.51361,1093485
31.63661,74.87476,1092450
12.36566,-1.53388,1086505
35.88333,139.63333,1077730
47.23135,39.72328,1074482
25.44894,81.83329,1073438
37.65639,126.835,1073069
37.05944,37.3825,1065975
17.68009,83.20161,1063178
